"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
22.6275249758639,-0.138479129604041,0.319612302289307,-0.433272213278864,0.66481702230383,0.817991500811893,"YDL243C"
46.6001137608535,0.440253844896871,0.229918991367859,1.91482157379721,0.0555152621874034,0.165499341310732,"YDR387C"
3.29483429211011,1.22784484388376,0.983379204694841,1.24859752781205,0.211812317024955,0.418468408523358,"YDL094C"
17.9543798686942,0.433582240854088,0.375554008291341,1.15451368187164,0.2482896325664,0.464206129996646,"YDR438W"
1.70217080491572,1.29012169602005,1.41540459922084,0.911486155075547,0.362039277169419,0.574789771320715,"YDR523C"
48.73950906046,0.16244930853517,0.224378452311804,0.723996920655398,0.469067625567141,0.677610185398431,"YDR492W"
11.8469453839843,1.13830397435902,0.819883717201005,1.38837246121324,0.165023657624948,0.356395630332871,"YDR018C"
68.8786755066226,0.00795977328725227,0.194876113258825,0.0408452998889632,0.96741922538259,0.988386882742768,"YDL189W"
157.058211580462,0.0812901488257537,0.125190677863351,0.649330686702439,0.516124655028633,0.711262513456009,"YDR508C"
35.8344676226196,-0.0188279913364981,0.252631817670788,-0.0745273952825429,0.94059074349311,0.974561348205191,"YDR462W"
45.5761446315531,0.00816166815072627,0.224143921852441,0.0364126231185483,0.970953349061844,0.988847842340144,"YDR175C"
107.080787579967,-0.352851072243751,0.151521933548606,-2.32871284031338,0.0198742834292395,0.0784290340317014,"YDR186C"
109.644635182732,0.260730746872808,0.148032287161151,1.76130999441338,0.0781859493732244,0.211328192696778,"YDR150W"
14.7036566259902,0.172306467204188,0.406458759902612,0.423921155606224,0.67162331493508,0.821142205882781,"YDR243C"
138.163525238973,-1.78978939108874,0.142287050605924,-12.5787229650694,2.7646285426556e-36,1.30169685886257e-34,"YDL182W"
29.7591486833228,-0.372624673681099,0.275945501820636,-1.3503560348786,0.176901806201799,0.372526575845918,"YDR362C"
111.324179065065,-0.63387896619202,0.142865532859329,-4.43689218459825,9.12669764909798e-06,9.33556734654003e-05,"YDR232W"
362.757415025794,0.0713010802291183,0.0839492414436983,0.849335610458581,0.395694571040202,0.609856100493744,"YDR158W"
17.8895092780944,-0.300011527819733,0.356648804429927,-0.841195944282713,0.400238172227895,0.613638838255446,"YDR439W"
23.4507406754123,1.40790106018439,0.357908020530662,3.93369519380126,8.36498488833144e-05,0.000722628762084609,"YDL206W"
8.88016119507593,0.476438995616759,0.554481525632424,0.859251343087307,0.390201862358779,0.602746077392674,"YDR125C"
29.1589602503484,0.00531307625689222,0.284371847101438,0.0186835522258889,0.985093549388236,0.992631301283465,"YDR338C"
7.36067678166939,0.568375123935803,0.589979113519626,0.963381772186918,0.335355970300157,0.550854320123275,"YDR526C"
16.9878080979447,-0.0495756529942049,0.3676190602187,-0.134856046268961,0.892725692002883,0.950141962105275,"YDR533C"
49.8890736147135,0.229055060286583,0.220090864754016,1.04072952115748,0.298001098073815,0.517620606285353,"YDR272W"
12.7267999918963,0.659173575166232,0.444781051364925,1.48201811462828,0.138335475064803,0.314737443821359,"YDR197W"
23.5300916643492,0.404029751278916,0.318583443729791,1.26820699327237,0.20472404030064,0.409206332271607,"YDR512C"
20.3776327274956,1.1999863469997,0.388590338837472,3.08804987429602,0.00201474654881289,0.0122917474906804,"YDR489W"
